iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_family,layer_interdependences_friends,layer_interdependences_religion,layer_interdependences_neighbours,layer_interdependences_cultural,layer_polarisations_family,layer_polarisations_friends,layer_polarisations_religion,layer_polarisations_neighbours,layer_polarisations_cultural
38,-0.1734422650234162,40,222,281,0.0,0.19999999999999923,0.19999999999999932,0.19999999999999932,0.19999999999999943,0.19999999999999934,0.362368311069207,0.362368311069207,0.362368311069207,0.362368311069207,0.362368311069207
39,-0.14006380699199572,40,222,281,0.0,0.1999999999999992,0.1999999999999993,0.19999999999999926,0.19999999999999937,0.1999999999999993,0.37140985929025216,0.37140985929025216,0.37140985929025216,0.37140985929025216,0.37140985929025216
40,-0.1290825422578933,40,222,281,0.0,0.19999999999999946,0.19999999999999954,0.19999999999999937,0.19999999999999946,0.19999999999999946,0.3785656241406742,0.3785656241406742,0.3785656241406742,0.3785656241406742,0.3785656241406742
41,-0.15135517945892754,40,222,281,0.0,0.19999999999999937,0.19999999999999948,0.19999999999999937,0.19999999999999946,0.19999999999999943,0.4067289677064406,0.4067289677064406,0.4067289677064406,0.4067289677064406,0.4067289677064406
42,-0.12942639123355254,40,222,281,0.0,0.19999999999999934,0.19999999999999948,0.19999999999999946,0.19999999999999948,0.19999999999999946,0.380696832505768,0.380696832505768,0.380696832505768,0.380696832505768,0.380696832505768
43,-0.1814857570553253,40,222,281,0.0,0.1999999999999995,0.19999999999999968,0.19999999999999957,0.19999999999999968,0.19999999999999968,0.3784989833466832,0.3784989833466832,0.3784989833466832,0.3784989833466832,0.3784989833466832
44,-0.15506625035204682,40,222,281,0.0,0.19999999999999893,0.19999999999999898,0.19999999999999898,0.1999999999999991,0.19999999999999907,0.3516159476629401,0.3516159476629401,0.3516159476629401,0.3516159476629401,0.3516159476629401
45,-0.13502252837082945,40,222,281,0.0,0.1999999999999984,0.19999999999999846,0.1999999999999984,0.1999999999999985,0.19999999999999837,0.3057475540629519,0.3057475540629519,0.3057475540629519,0.3057475540629519,0.3057475540629519
46,-0.14733408609639298,40,222,281,0.0,0.19999999999999934,0.19999999999999946,0.1999999999999994,0.19999999999999943,0.19999999999999943,0.2773265244548376,0.2773265244548376,0.2773265244548376,0.2773265244548376,0.2773265244548376
47,-0.18161506485398157,40,222,281,0.0,0.19999999999999934,0.19999999999999957,0.19999999999999943,0.19999999999999946,0.19999999999999948,0.28632895536844594,0.28632895536844594,0.28632895536844594,0.28632895536844594,0.28632895536844594
48,-0.1796641326340776,40,222,281,0.0,0.19999999999999887,0.19999999999999904,0.19999999999999896,0.19999999999999896,0.19999999999999898,0.2925014850759709,0.2925014850759709,0.2925014850759709,0.2925014850759709,0.2925014850759709
49,-0.15556642626961734,40,222,281,0.0,0.19999999999999876,0.1999999999999989,0.1999999999999988,0.19999999999999885,0.1999999999999988,0.30430888764612446,0.30430888764612446,0.30430888764612446,0.30430888764612446,0.30430888764612446
50,-0.19749312554906928,40,222,281,0.0,0.1999999999999991,0.1999999999999992,0.19999999999999912,0.19999999999999912,0.19999999999999912,0.32087315390918275,0.32087315390918275,0.32087315390918275,0.32087315390918275,0.32087315390918275
51,-0.25519638034780445,40,222,281,0.0,0.19999999999999835,0.19999999999999843,0.19999999999999843,0.1999999999999985,0.19999999999999846,0.37143336865700066,0.37143336865700066,0.37143336865700066,0.37143336865700066,0.37143336865700066
