iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_family,layer_interdependences_friends,layer_interdependences_religion,layer_interdependences_neighbours,layer_interdependences_cultural,layer_polarisations_family,layer_polarisations_friends,layer_polarisations_religion,layer_polarisations_neighbours,layer_polarisations_cultural
22,0.07408490158568153,30,545,617,1.3862943611198906,0.1999999999999997,0.1999999999999997,0.1999999999999997,0.19999999999999965,0.19999999999999968,0.4145686683703017,0.4145686683703017,0.4145686683703017,0.4145686683703017,0.4145686683703017
23,-0.05262427555641971,30,553,626,1.3862943611198906,0.19999999999999998,0.19999999999999998,0.19999999999999987,0.19999999999999998,0.19999999999999984,0.40545438009415435,0.40545438009415435,0.40545438009415435,0.40545438009415435,0.40545438009415435
24,0.028864545651516898,30,560,636,1.3862943611198906,0.19999999999999998,0.2,0.20000000000000004,0.2,0.2,0.4299186703485553,0.4299186703485553,0.4299186703485553,0.4299186703485553,0.4299186703485553
25,-0.10972456962783547,30,569,646,1.3862943611198906,0.20000000000000015,0.20000000000000015,0.20000000000000018,0.20000000000000015,0.20000000000000012,0.4257486796805541,0.4257486796805541,0.4257486796805541,0.4257486796805541,0.4257486796805541
26,0.01877192829568005,31,577,655,1.4916548767777171,0.20000000000000018,0.20000000000000015,0.20000000000000012,0.20000000000000012,0.20000000000000012,0.4332299296418333,0.4332299296418333,0.4332299296418333,0.4332299296418333,0.4332299296418333
27,-0.046823363769023,31,586,664,1.4916548767777171,0.2000000000000002,0.20000000000000023,0.20000000000000015,0.20000000000000023,0.2000000000000002,0.445885635859585,0.445885635859585,0.445885635859585,0.445885635859585,0.445885635859585
28,0.09189376452097779,32,594,672,1.6094379124341005,0.1999999999999997,0.1999999999999998,0.19999999999999973,0.19999999999999973,0.19999999999999973,0.44620632876999533,0.44620632876999533,0.44620632876999533,0.44620632876999533,0.44620632876999533
29,0.017180745102203607,32,601,680,1.6094379124341005,0.20000000000000004,0.20000000000000007,0.20000000000000007,0.20000000000000004,0.20000000000000004,0.46550323931182475,0.46550323931182475,0.46550323931182475,0.46550323931182475,0.46550323931182475
30,0.13972617599470832,32,609,688,1.6094379124341005,0.19999999999999984,0.19999999999999984,0.19999999999999987,0.19999999999999984,0.19999999999999982,0.501362189534348,0.501362189534348,0.501362189534348,0.501362189534348,0.501362189534348
31,0.03969571122009171,32,617,695,1.6094379124341005,0.20000000000000015,0.20000000000000012,0.20000000000000012,0.20000000000000004,0.20000000000000007,0.5235891654643265,0.5235891654643265,0.5235891654643265,0.5235891654643265,0.5235891654643265
32,0.07696891369707219,33,624,702,1.7429693050586228,0.19999999999999998,0.20000000000000007,0.2,0.2,0.19999999999999998,0.5086480414213558,0.5086480414213558,0.5086480414213558,0.5086480414213558,0.5086480414213558
33,0.0669253957611908,33,630,709,1.7429693050586228,0.20000000000000015,0.20000000000000012,0.2000000000000001,0.20000000000000012,0.20000000000000004,0.4662598743284055,0.4662598743284055,0.4662598743284055,0.4662598743284055,0.4662598743284055
34,0.09148586524004182,33,636,716,1.7429693050586228,0.20000000000000012,0.20000000000000007,0.20000000000000012,0.20000000000000007,0.20000000000000004,0.45519634201070464,0.45519634201070464,0.45519634201070464,0.45519634201070464,0.45519634201070464
35,0.05033912271077314,34,642,722,1.8971199848858813,0.2000000000000004,0.2000000000000004,0.20000000000000034,0.20000000000000043,0.2000000000000004,0.45157922943386514,0.45157922943386514,0.45157922943386514,0.45157922943386514,0.45157922943386514
36,0.11004442818985687,34,647,728,1.8971199848858813,0.2000000000000003,0.20000000000000032,0.20000000000000032,0.20000000000000032,0.20000000000000023,0.4028649059657398,0.4028649059657398,0.4028649059657398,0.4028649059657398,0.4028649059657398
37,0.08918097317028034,34,652,734,1.8971199848858813,0.2000000000000002,0.20000000000000026,0.20000000000000012,0.20000000000000015,0.20000000000000023,0.38740330950365004,0.38740330950365004,0.38740330950365004,0.38740330950365004,0.38740330950365004
38,0.15889039315059034,34,658,740,1.8971199848858813,0.2000000000000006,0.20000000000000048,0.2000000000000004,0.2000000000000005,0.20000000000000046,0.40423797070478495,0.40423797070478495,0.40423797070478495,0.40423797070478495,0.40423797070478495
39,0.07431389050167067,35,663,745,2.0794415416798357,0.20000000000000057,0.20000000000000057,0.20000000000000046,0.20000000000000048,0.20000000000000046,0.39833801690103365,0.39833801690103365,0.39833801690103365,0.39833801690103365,0.39833801690103365
40,0.10732559717891835,35,668,750,2.0794415416798357,0.2000000000000003,0.20000000000000015,0.20000000000000015,0.20000000000000015,0.20000000000000018,0.43077030287090023,0.43077030287090023,0.43077030287090023,0.43077030287090023,0.43077030287090023
41,0.012184527264614263,35,673,755,2.0794415416798357,0.2000000000000001,0.2000000000000001,0.20000000000000007,0.20000000000000004,0.20000000000000004,0.4942271953888127,0.4942271953888127,0.4942271953888127,0.4942271953888127,0.4942271953888127
42,0.042616516520964674,35,678,760,2.0794415416798357,0.2000000000000001,0.2000000000000001,0.20000000000000004,0.20000000000000004,0.19999999999999996,0.4862814007301031,0.4862814007301031,0.4862814007301031,0.4862814007301031,0.4862814007301031
43,-0.018682583662263268,35,683,765,2.0794415416798357,0.19999999999999984,0.1999999999999999,0.19999999999999984,0.19999999999999993,0.19999999999999976,0.49343478488332687,0.49343478488332687,0.49343478488332687,0.49343478488332687,0.49343478488332687
44,0.10825803029332356,35,688,770,2.0794415416798357,0.19999999999999982,0.19999999999999982,0.19999999999999976,0.19999999999999976,0.19999999999999973,0.4883597866554526,0.4883597866554526,0.4883597866554526,0.4883597866554526,0.4883597866554526
45,0.05940305258428693,35,693,775,2.0794415416798357,0.20000000000000018,0.2000000000000003,0.20000000000000015,0.2000000000000002,0.20000000000000015,0.5219274846106593,0.5219274846106593,0.5219274846106593,0.5219274846106593,0.5219274846106593
46,0.17922454025599335,35,698,780,2.0794415416798357,0.19999999999999987,0.1999999999999999,0.19999999999999976,0.19999999999999996,0.1999999999999998,0.5485649936834808,0.5485649936834808,0.5485649936834808,0.5485649936834808,0.5485649936834808
47,0.06548373970706908,35,701,785,2.0794415416798357,0.19999999999999998,0.19999999999999996,0.19999999999999998,0.2,0.19999999999999993,0.5153779261570091,0.5153779261570091,0.5153779261570091,0.5153779261570091,0.5153779261570091
48,0.1250187494660637,35,706,790,2.0794415416798357,0.20000000000000023,0.2000000000000002,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.4617307289876304,0.4617307289876304,0.4617307289876304,0.4617307289876304,0.4617307289876304
49,0.0458617652147712,35,711,794,2.0794415416798357,0.20000000000000012,0.2000000000000002,0.2000000000000002,0.2000000000000002,0.20000000000000018,0.4403407468062551,0.4403407468062551,0.4403407468062551,0.4403407468062551,0.4403407468062551
50,0.12859510461707477,35,716,799,2.0794415416798357,0.20000000000000026,0.20000000000000034,0.2000000000000003,0.20000000000000032,0.20000000000000026,0.4257442779735624,0.4257442779735624,0.4257442779735624,0.4257442779735624,0.4257442779735624
51,0.01928909679432935,35,721,804,2.0794415416798357,0.19999999999999982,0.1999999999999999,0.19999999999999984,0.19999999999999993,0.19999999999999993,0.4347114696225776,0.4347114696225776,0.4347114696225776,0.4347114696225776,0.4347114696225776
52,0.08403487120313673,35,726,809,2.0794415416798357,0.2,0.19999999999999996,0.19999999999999996,0.19999999999999993,0.20000000000000007,0.4338307891515572,0.4338307891515572,0.4338307891515572,0.4338307891515572,0.4338307891515572
53,-0.03910486462238335,35,730,814,2.0794415416798357,0.2,0.19999999999999996,0.2,0.1999999999999999,0.20000000000000004,0.45304478189763664,0.45304478189763664,0.45304478189763664,0.45304478189763664,0.45304478189763664
54,0.06715837904127582,35,735,819,2.0794415416798357,0.2000000000000002,0.2000000000000002,0.20000000000000026,0.20000000000000018,0.20000000000000032,0.4419676254376498,0.4419676254376498,0.4419676254376498,0.4419676254376498,0.4419676254376498
55,0.010502949730934324,35,740,824,2.0794415416798357,0.2000000000000003,0.2000000000000003,0.2000000000000002,0.2000000000000002,0.2000000000000003,0.3919319221144034,0.3919319221144034,0.3919319221144034,0.3919319221144034,0.3919319221144034
56,0.07806144849017922,36,744,827,2.302585092994046,0.20000000000000007,0.19999999999999996,0.2000000000000001,0.20000000000000007,0.20000000000000007,0.3804272321960477,0.3804272321960477,0.3804272321960477,0.3804272321960477,0.3804272321960477
57,0.05705960404021485,36,748,831,2.302585092994046,0.20000000000000012,0.20000000000000004,0.2000000000000001,0.20000000000000012,0.20000000000000012,0.35022178316748875,0.35022178316748875,0.35022178316748875,0.35022178316748875,0.35022178316748875
58,0.13105725052995498,36,752,835,2.302585092994046,0.2000000000000003,0.20000000000000026,0.2000000000000002,0.20000000000000032,0.2000000000000002,0.3298254153111703,0.3298254153111703,0.3298254153111703,0.3298254153111703,0.3298254153111703
59,0.09631349970606952,37,755,837,2.590267165445827,0.20000000000000043,0.20000000000000046,0.2000000000000004,0.2000000000000004,0.20000000000000043,0.32959692250469735,0.32959692250469735,0.32959692250469735,0.32959692250469735,0.32959692250469735
60,0.08898287459103324,37,758,840,2.590267165445827,0.19999999999999998,0.19999999999999993,0.19999999999999987,0.19999999999999998,0.19999999999999987,0.3378634613114515,0.3378634613114515,0.3378634613114515,0.3378634613114515,0.3378634613114515
61,0.05936505209665832,37,761,842,2.590267165445827,0.20000000000000026,0.20000000000000015,0.20000000000000018,0.20000000000000026,0.20000000000000012,0.3435558034156801,0.3435558034156801,0.3435558034156801,0.3435558034156801,0.3435558034156801
62,0.024594580772979702,37,764,845,2.590267165445827,0.20000000000000034,0.2000000000000003,0.20000000000000023,0.2000000000000002,0.20000000000000015,0.36837363771361786,0.36837363771361786,0.36837363771361786,0.36837363771361786,0.36837363771361786
